250 730
0 225 2
0 83 7
1 98 9
2 146 8
3 234 7
3 149 9
3 33 4
3 136 7
4 221 3
4 101 2
4 39 6
5 119 0
5 163 8
6 130 6
6 31 5
6 5 4
7 75 1
7 55 6
7 143 3
7 31 9
7 231 2
8 191 6
8 248 9
8 146 8
8 121 7
9 244 1
9 62 8
9 54 1
9 73 6
10 225 6
10 62 6
11 39 6
11 180 3
11 162 7
11 124 8
12 140 3
13 62 7
14 187 4
15 62 6
16 60 5
16 36 7
16 120 4
16 228 4
16 192 4
17 7 9
18 243 1
19 77 5
19 57 9
19 34 9
19 141 3
19 74 4
20 240 9
20 244 2
20 164 3
21 101 6
21 90 2
22 211 8
22 165 2
22 243 8
23 165 2
23 164 0
23 112 8
23 102 0
23 210 6
24 18 3
25 246 5
26 172 0
26 46 8
26 135 9
26 60 6
27 195 1
28 100 7
28 164 6
28 4 1
29 152 0
30 118 7
30 49 9
31 191 2
32 38 0
32 154 1
32 246 4
32 156 4
32 126 5
33 167 5
33 176 2
34 24 3
34 11 0
34 19 4
34 93 3
34 112 4
35 183 0
35 15 2
35 206 5
35 110 4
36 117 3
36 226 6
37 138 0
37 222 1
37 142 8
37 7 8
37 179 8
38 141 9
38 184 6
38 222 0
38 155 3
38 61 4
39 46 2
39 143 0
39 48 0
39 29 6
40 242 4
40 213 4
41 224 9
41 212 0
41 153 4
41 113 5
41 98 6
42 84 1
42 233 3
43 235 3
43 21 1
43 122 9
43 208 9
43 59 7
44 25 4
44 114 0
44 113 8
44 58 8
44 211 9
45 116 6
45 221 5
46 2 2
47 25 2
47 104 4
47 178 3
48 240 2
48 44 9
48 93 2
49 203 0
49 214 9
49 146 6
49 127 9
50 63 2
50 66 1
50 148 7
50 218 0
51 50 4
51 125 3
51 171 2
52 119 1
52 163 3
53 81 7
54 217 6
54 17 9
54 222 7
54 56 3
54 154 8
55 44 3
55 45 5
55 13 1
55 222 7
56 26 8
56 48 4
56 196 2
56 169 3
57 160 5
57 48 0
57 221 8
58 199 7
58 74 0
58 36 7
59 51 3
59 6 5
60 157 4
60 173 8
60 32 9
61 64 3
62 76 2
62 183 0
63 28 1
63 75 4
63 165 3
63 110 0
64 84 3
65 161 6
65 205 9
65 128 6
65 61 4
66 61 2
66 145 4
66 28 7
66 108 3
67 200 4
67 52 9
68 21 5
69 39 5
69 244 2
69 187 0
69 197 1
69 206 4
70 245 7
70 207 9
70 84 0
70 122 3
70 18 4
71 41 7
72 76 4
72 238 4
72 173 7
73 56 5
73 201 2
74 147 1
74 170 3
74 158 1
74 97 5
74 199 0
75 40 3
75 7 6
76 206 7
77 169 0
77 190 1
77 249 4
77 80 9
77 38 2
78 198 8
78 163 7
78 25 8
78 7 1
78 40 8
79 138 8
79 28 2
79 43 5
80 94 0
80 215 7
80 182 0
80 166 6
81 44 7
82 239 1
82 36 5
82 21 3
83 193 3
84 182 0
85 205 4
85 96 9
85 44 7
85 141 4
85 82 8
86 103 5
86 200 8
86 231 9
86 249 5
87 40 9
87 76 6
87 43 7
88 103 8
88 118 2
89 101 0
89 208 5
89 123 5
90 221 5
90 151 2
90 187 2
91 161 6
91 107 7
91 85 5
92 174 5
92 109 8
92 17 3
92 220 5
93 97 3
94 32 8
94 234 1
95 54 2
95 121 8
95 168 1
96 162 5
96 197 5
96 205 6
96 79 8
96 2 7
97 83 5
98 242 1
98 8 3
98 110 9
98 217 5
98 91 7
99 200 1
99 6 2
99 35 5
100 31 2
100 185 7
100 45 0
100 151 3
101 237 0
101 154 8
101 6 8
101 120 3
101 163 8
102 5 8
102 214 8
103 58 6
103 193 9
103 86 7
103 241 5
104 61 4
104 127 5
104 226 9
105 51 7
105 110 0
105 96 4
105 115 6
106 28 3
106 7 0
106 76 0
107 47 8
107 53 0
107 134 2
107 242 3
108 90 9
108 179 6
108 187 6
108 105 4
109 58 0
110 129 5
111 16 5
112 170 3
112 195 9
112 246 5
113 96 1
113 167 5
114 200 4
114 168 2
114 6 9
114 180 2
115 141 8
115 178 1
116 246 2
116 227 3
117 21 2
117 108 6
118 72 9
118 111 5
118 200 8
118 204 9
119 228 9
119 227 6
119 55 5
120 126 1
120 184 2
120 103 5
120 233 5
121 223 9
121 187 5
121 238 6
121 111 0
122 51 6
123 217 1
123 106 3
123 28 8
124 212 3
124 229 5
124 33 5
124 146 3
125 179 2
126 158 2
126 119 9
127 111 7
127 11 8
127 239 1
127 195 4
128 135 2
128 132 4
128 111 8
128 155 3
128 139 5
129 80 6
129 145 7
129 91 0
129 232 7
130 101 5
131 240 9
131 157 1
131 80 9
132 111 3
132 51 3
132 157 8
132 95 2
132 58 9
133 144 7
134 167 8
134 240 3
134 151 1
134 156 0
134 244 7
135 99 3
135 226 8
135 61 3
135 110 2
136 178 8
136 181 7
137 23 2
138 220 8
139 133 1
139 107 0
140 176 0
141 25 5
141 211 0
141 136 7
141 78 6
142 240 5
142 226 1
142 227 1
142 28 9
143 162 3
143 31 2
143 190 3
143 16 9
143 207 6
144 233 7
145 209 2
145 221 2
145 92 2
146 126 4
146 127 3
146 123 2
146 128 8
147 55 0
147 70 4
147 137 6
147 166 4
147 3 8
148 2 9
148 221 3
148 233 7
148 202 0
149 231 1
149 210 7
149 228 7
150 64 6
150 62 4
150 236 2
151 190 5
151 78 0
152 34 0
152 204 3
152 50 3
152 95 1
153 90 5
153 13 1
153 105 6
154 241 6
154 44 4
154 223 5
154 50 6
154 191 0
155 150 6
155 198 2
