1000 2985
0 2 5
0 841 6
0 684 7
1 23 1
1 336 0
1 731 0
1 603 2
1 82 6
2 262 8
2 173 7
3 745 3
3 828 3
3 864 7
4 663 2
5 799 9
5 939 8
5 988 2
5 510 5
5 414 8
6 254 9
6 525 6
6 178 2
6 971 0
7 491 4
7 1 2
7 920 5
7 350 2
7 426 3
8 440 4
8 460 4
8 902 1
9 844 8
9 463 8
9 939 8
10 939 6
11 981 5
11 434 2
11 287 1
11 780 0
11 934 7
12 831 8
12 206 1
12 76 4
13 627 0
13 623 9
13 292 2
13 901 5
14 570 8
14 638 8
14 876 8
14 339 3
14 489 2
15 453 1
15 871 3
15 845 4
15 764 6
16 723 3
17 796 7
17 369 0
17 920 9
17 1 9
18 536 0
18 499 1
19 742 4
19 800 0
19 578 6
19 96 7
20 532 0
20 271 5
20 535 5
20 38 8
21 838 8
21 119 4
21 798 8
22 508 0
22 121 6
22 386 9
22 488 5
22 960 1
23 357 4
24 692 6
25 766 2
25 286 9
25 757 9
25 784 6
26 508 8
26 372 9
26 987 1
26 440 1
26 142 1
27 738 5
27 737 0
27 411 6
27 721 7
28 239 7
29 758 8
30 700 7
30 274 1
30 186 7
30 531 8
30 545 5
31 670 3
32 223 8
32 454 1
32 401 0
33 88 4
33 602 5
33 856 3
33 3 2
33 480 4
34 190 7
34 474 3
34 784 2
34 216 7
34 212 4
35 766 8
35 996 1
36 792 0
36 462 9
36 292 9
36 319 4
37 352 6
37 711 6
37 170 3
37 534 7
37 39 6
38 684 5
38 446 5
39 750 9
39 428 7
40 583 8
40 839 1
40 298 5
40 883 9
40 197 0
41 594 4
42 502 1
42 282 5
42 294 4
42 240 9
42 190 3
43 30 2
43 466 0
43 905 3
43 581 2
43 476 7
44 365 0
45 631 8
46 382 3
46 669 7
47 263 4
47 240 4
47 175 9
48 980 3
48 409 7
48 202 8
48 135 7
49 48 3
50 355 3
50 986 0
50 883 3
50 677 6
50 453 0
51 39 9
51 177 4
52 879 5
52 309 7
52 41 8
52 188 9
53 959 3
53 583 4
53 823 1
53 569 7
53 187 8
54 468 2
55 993 6
55 23 7
55 604 5
56 957 6
56 798 8
56 919 6
57 418 8
57 353 8
57 987 0
57 948 5
57 642 3
58 129 3
58 586 0
58 592 0
59 833 0
59 348 9
59 153 8
59 326 5
59 683 0
60 33 0
61 347 0
62 662 4
62 690 4
63 188 0
63 645 1
63 189 9
63 941 7
64 495 4
64 88 8
65 819 8
65 553 6
65 735 5
66 104 7
66 593 4
67 481 8
67 205 1
68 896 7
68 82 4
68 974 2
68 142 4
68 540 9
69 626 8
69 865 1
70 380 8
71 649 9
71 108 8
71 28 6
71 885 1
72 588 1
73 499 6
73 387 6
74 332 8
74 815 9
74 908 9
74 462 2
75 310 1
76 600 6
76 677 2
76 128 3
76 663 6
77 42 2
77 27 7
77 387 8
77 330 1
78 900 5
78 663 5
78 360 4
78 178 3
78 978 1
79 418 9
80 42 9
80 522 2
80 359 4
81 31 8
81 637 5
81 387 8
81 113 9
82 443 1
82 900 1
82 828 4
82 805 2
83 158 5
84 142 7
84 59 2
85 17 1
85 902 8
85 293 7
85 524 8
85 948 4
86 515 5
86 160 9
86 333 2
86 967 9
86 13 9
87 127 3
87 439 5
88 891 5
89 261 8
90 476 4
90 515 0
90 115 7
90 256 2
90 767 7
91 431 7
91 955 4
91 791 6
92 237 7
92 628 6
93 871 1
93 390 1
93 883 5
94 708 9
94 842 8
94 121 8
94 840 1
95 403 3
95 5 3
95 723 9
96 506 2
96 755 2
97 770 3
97 549 4
97 993 7
97 865 4
97 217 1
98 734 6
98 963 6
98 227 0
98 483 6
98 938 9
99 64 0
99 547 1
99 971 4
99 552 0
100 723 0
100 534 5
100 418 5
101 995 7
101 858 2
101 358 5
101 375 9
101 67 3
102 892 4
102 868 5
102 262 5
103 183 1
103 435 3
104 730 4
104 171 0
105 636 0
105 329 5
105 490 5
105 21 1
105 577 9
106 226 3
106 486 7
107 650 6
107 998 7
108 471 4
108 564 5
108 811 5
108 822 0
108 704 4
109 963 5
109 857 9
109 114 3
110 398 8
110 380 6
111 885 9
112 92 1
113 397 5
114 642 8
114 712 1
114 865 5
114 121 8
114 613 6
115 137 7
115 611 6
116 132 0
116 518 9
117 388 3
117 295 3
117 178 3
118 4 6
118 79 4
119 256 7
119 566 8
119 67 6
120 695 1
120 644 0
121 159 3
122 280 1
123 308 1
123 693 3
123 21 7
124 602 0
124 396 3
125 31 2
126 273 1
126 71 5
126 756 8
126 348 6
127 646 7
127 139 4
127 435 9
127 83 9
127 748 3
128 194 3
128 798 7
129 369 4
129 315 9
129 721 6
129 18 3
130 517 5
130 873 1
130 96 5
130 216 7
130 551 0
131 536 3
131 363 7
131 158 5
131 371 5
131 369 5
132 15 9
133 573 2
134 924 7
134 14 3
135 945 6
135 894 9
135 220 2
135 146 9
136 256 5
136 512 6
136 95 6
136 918 6
136 403 3
137 2 4
137 693 3
137 636 5
137 948 8
138 628 4
138 718 5
138 559 7
139 223 1
139 885 8
139 805 4
139 853 1
139 94 3
140 453 2
140 395 0
140 992 1
140 747 6
141 847 8
141 627 5
142 446 6
142 448 8
142 187 0
143 390 3
143 904 1
143 447 5
144 718 3
144 366 5
144 920 5
144 624 3
144 897 8
145 202 1
145 966 4
145 677 4
145 605 1
145 448 8
146 221 5
147 980 5
148 70 1
148 802 3
148 280 4
148 711 6
149 825 4
149 733 3
149 809 1
150 322 9
150 650 1
150 457 9
150 312 0
150 599 5
151 118 0
151 423 5
151 939 7
151 822 5
151 556 7
152 739 1
152 986 0
152 877 8
152 105 9
153 548 5
153 169 4
153 422 0
153 553 5
154 736 2
154 912 3
154 244 7
154 877 0
154 997 3
155 852 9
155 931 5
155 112 2
155 15 7
155 30 2
156 372 7
156 797 3
157 143 1
158 210 1
158 117 1
158 381 4
159 18 6
159 108 7
159 654 8
159 915 0
159 418 2
160 382 9
160 293 3
160 243 6
160 128 9
160 450 3
161 12 5
161 168 4
161 797 7
162 678 1
162 974 4
162 113 3
162 894 9
162 26 7
163 793 5
163 696 9
163 119 8
163 282 1
163 568 3
164 824 5
164 779 6
164 581 1
165 124 3
165 235 6
165 247 1
165 270 4
165 811 0
166 59 3
166 485 5
166 366 2
167 588 5
167 569 7
167 73 6
167 931 6
168 553 8
168 848 5
168 367 6
169 408 5
169 611 2
169 694 2
169 43 9
170 148 7
170 308 3
170 966 3
171 57 4
171 548 8
172 433 2
172 20 4
172 914 0
173 644 8
173 711 2
173 201 9
173 866 3
174 386 0
